code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1999020616,New York Rangers,6,Atlanta Thrashers,3,Paul Devorski,Scott Zelkin,New York Rangers,Atlanta Thrashers
1999020617,Washington Capitals,2,Ottawa Senators,1,Don Van Massenhoven,Brad Kovachik,Washington Capitals,Ottawa Senators
1999020618,Edmonton Oilers,3,Detroit Red Wings,3,Bernard Degrace,Robbie Shick,Edmonton Oilers,Detroit Red Wings
1999020619,Boston Bruins,3,Atlanta Thrashers,3,Blaine Angus,Mark Faucette,Boston Bruins,Atlanta Thrashers
1999020620,New Jersey Devils,5,Carolina Hurricanes,2,Don Koharski,Scott Zelkin,New Jersey Devils,Carolina Hurricanes
1999020621,New York Islanders,3,Ottawa Senators,4,Paul Devorski,Brian Murphy,Ottawa Senators,New York Islanders
1999020622,Tampa Bay Lightning,3,Washington Capitals,6,Shane Heyer,Richard Trottier,Washington Capitals,Tampa Bay Lightning
1999020623,Florida Panthers,3,Philadelphia Flyers,1,Dan Marouelli,Kevin Collins,Florida Panthers,Philadelphia Flyers
1999020624,Chicago Blackhawks,5,San Jose Sharks,4,Dan O'Halloran,Stephen Walkom,Chicago Blackhawks,San Jose Sharks
1999020625,Colorado Avalanche,2,Phoenix Coyotes,0,Kerry Fraser,Brad Watson,Colorado Avalanche,Phoenix Coyotes
1999020626,Vancouver Canucks,4,Toronto Maple Leafs,5,Mike Leggo,Mike Cvik,Toronto Maple Leafs,Vancouver Canucks
1999020627,Anaheim Ducks,0,Buffalo Sabres,5,Terry Gregson,David Brisebois,Buffalo Sabres,Anaheim Ducks
1999020628,New York Rangers,3,Carolina Hurricanes,2,Greg Kimmerly,Don Koharski,New York Rangers,Carolina Hurricanes
1999020629,Nashville Predators,4,Phoenix Coyotes,4,Blaine Angus,Scott Driscoll,Nashville Predators,Phoenix Coyotes
1999020630,Calgary Flames,6,Detroit Red Wings,1,Mike Leggo,Robbie Shick,Calgary Flames,Detroit Red Wings
1999020631,Los Angeles Kings,5,Buffalo Sabres,3,Michael McGeough,David Brisebois,Los Angeles Kings,Buffalo Sabres
1999020632,Montréal Canadiens,3,New York Islanders,0,Dave Jackson,Tom Kowal,Montréal Canadiens,New York Islanders
1999020633,New Jersey Devils,4,Chicago Blackhawks,1,Kevin Maguire,Pat Dapuzzo,New Jersey Devils,Chicago Blackhawks
1999020634,Pittsburgh Penguins,3,St. Louis Blues,1,Brad Meier,Paul Stewart,Pittsburgh Penguins,St. Louis Blues
1999020635,Atlanta Thrashers,3,Boston Bruins,4,Shane Heyer,Lance Roberts,Boston Bruins,Atlanta Thrashers
1999020636,Florida Panthers,1,Washington Capitals,3,Dan Marouelli,Rob Martell,Washington Capitals,Florida Panthers
1999020637,Colorado Avalanche,0,San Jose Sharks,0,Dennis LaRue,Michael McGeough,Colorado Avalanche,San Jose Sharks
1999020638,Edmonton Oilers,7,Calgary Flames,0,Mark Faucette,Don Henderson,Edmonton Oilers,Calgary Flames
1999020639,Vancouver Canucks,3,Detroit Red Wings,3,Bill McCreary,Lonnie Cameron,Vancouver Canucks,Detroit Red Wings
1999020640,Anaheim Ducks,3,Dallas Stars,1,Don Van Massenhoven,Wayne Bonney,Anaheim Ducks,Dallas Stars
1999020641,Philadelphia Flyers,1,Ottawa Senators,1,Kerry Fraser,Greg Kimmerly,Philadelphia Flyers,Ottawa Senators
1999020642,Carolina Hurricanes,1,New York Rangers,4,Dan Marouelli,Pierre Champoux,New York Rangers,Carolina Hurricanes
1999020643,Tampa Bay Lightning,2,Boston Bruins,4,Blaine Angus,Stephane Provost,Boston Bruins,Tampa Bay Lightning
