code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
1994020179,Tampa Bay Lightning,3,Boston Bruins,1,Don Koharski,Gerard Gauthier,1,0
1994020180,Toronto Maple Leafs,3,St. Louis Blues,1,Bill McCreary,Randy Mitton,1,0
1994020181,Calgary Flames,3,Dallas Stars,2,Mark Faucette,Swede Knox,1,0
1994020182,San Jose Sharks,3,Anaheim Ducks,6,McGeough,Mike Cvik,0,1
1994020183,Los Angeles Kings,2,Vancouver Canucks,6,Dan Marouelli,Wayne Bonney,0,1
1994020184,Pittsburgh Penguins,3,Buffalo Sabres,3,Terry Gregson,Randy Mitton,0,0
1994020185,Florida Panthers,1,Quebec Nordiques,4,Stephen Walkom #24,Gerard Gauthier #30,0,1
1994020186,Chicago Blackhawks,4,Edmonton Oilers,1,Dave Jackson,Andy McElman,1,0
1994020187,Montréal Canadiens,3,New York Islanders,2,Koharski,Champoux,1,0
1994020188,Washington Capitals,0,New Jersey Devils,2,Dave Jackson,Gordon Broseker,0,1
1994020189,Tampa Bay Lightning,1,New York Rangers,3,Richard Trottier,Dan Schachte,0,1
1994020190,Toronto Maple Leafs,2,Detroit Red Wings,4,Kerry Fraser,Dan McCourt,0,1
1994020191,Chicago Blackhawks,3,San Jose Sharks,2,Paul Devorski,Andy McElman,1,0
1994020192,St. Louis Blues,4,Edmonton Oilers,0,Stephen Walkom,Randy Mitton,1,0
1994020193,Calgary Flames,1,Dallas Stars,2,Dan Marouelli,Mike Cvik,0,1
1994020194,Vancouver Canucks,8,Los Angeles Kings,2,Mark Faucette,Brad Lazarowich,1,0
1994020195,Pittsburgh Penguins,5,Quebec Nordiques,4,Mike McGeough,Mark Pare,1,0
1994020196,Florida Panthers,3,New York Rangers,5,Andy van Hellemond,Dan Schachte #47,0,1
1994020197,Hartford Whalers,3,Boston Bruins,2,Don Koharski,Kevin Collins,1,0
1994020198,Buffalo Sabres,3,New York Islanders,3,Fraser,Ron Asselstine,0,0
1994020199,Detroit Red Wings,4,Toronto Maple Leafs,1,Stewart,Finn,1,0
1994020200,St. Louis Blues,4,San Jose Sharks,3,Richard Trottier,Randy Mitton,1,0
1994020201,Edmonton Oilers,2,Dallas Stars,1,Dan Marouelli,Mike Cvik,1,0
1994020202,Vancouver Canucks,1,Winnipeg Jets (1979),4,Paul Devorski,Jay Sharrers,0,1
1994020203,Ottawa Senators,5,Washington Capitals,5,Don Koharski,Ron Asselstine,0,0
1994020204,Quebec Nordiques,6,Philadelphia Flyers,6,Bill McCreary,Brian Murphy,0,0
1994020205,New York Islanders,1,Tampa Bay Lightning,4,Don Van Massenhoven,Pierre Champoux,0,1
1994020206,New Jersey Devils,2,Boston Bruins,3,Mike McGeough,Ray Scapinello,0,1
1994020207,Florida Panthers,2,Montréal Canadiens,5,Andy van Hellemond,Dan Schachte #47,0,1
1994020208,Toronto Maple Leafs,3,Anaheim Ducks,1,Stephen Walkom,Greg Devorski,1,0
1994020209,Chicago Blackhawks,2,Detroit Red Wings,4,Terry Gregson,Randy Mitton,0,1
1994020210,Los Angeles Kings,3,Calgary Flames,3,Paul Devorski,Wayne Bonney,0,0
1994020211,Pittsburgh Penguins,2,Tampa Bay Lightning,4,Lance Roberts,Greg Devorski,0,1
1994020212,New York Rangers,1,Hartford Whalers,2,Don Van Massenhoven,Pierre Champoux,0,1
1994020213,Dallas Stars,3,Vancouver Canucks,3,Stewart,McElman,0,0
1994020214,Winnipeg Jets (1979),4,Anaheim Ducks,2,Terry Gregson,Mark Wheler,1,0
1994020215,San Jose Sharks,0,Calgary Flames,3,Paul Devorski,Lazarowich,0,1
1994020216,Hartford Whalers,1,Buffalo Sabres,3,Dan Van Massenhoven,Kevin Collins,0,1
1994020217,Ottawa Senators,1,Florida Panthers,4,Richard Trottier,Ron Asselstine,0,1
1994020218,Montréal Canadiens,0,Philadelphia Flyers,7,McCreary,Gauthier,0,1
1994020219,Quebec Nordiques,1,Boston Bruins,1,Don Koharski,Brian Murphy,0,0
