,Ref,Score,Team
173,Chris Rooney,4,San Jose Sharks
174,Tim Peel,3,Los Angeles Kings
175,Tim Peel,4,San Jose Sharks
176,Francis Charron,6,Los Angeles Kings
177,Francis Charron,3,San Jose Sharks
178,Paul Devorski,6,Los Angeles Kings
179,Paul Devorski,3,San Jose Sharks
180,Kevin Pollock,3,Los Angeles Kings
181,Kevin Pollock,0,San Jose Sharks
182,Marc Joannette,3,Los Angeles Kings
183,Marc Joannette,0,San Jose Sharks
184,Chris Lee,4,Los Angeles Kings
185,Chris Lee,1,San Jose Sharks
186,Francois St-Laurent,4,Los Angeles Kings
