,Ref,Team,Wins,Losses,Win %,Goals per Game
361,Devorsky,New York Rangers,0,1,0.0,2.0
362,Devorsky,Pittsburgh Penguins,0,0,,
363,Devorsky,Tampa Bay Lightning,0,0,,
364,Devorsky,Chicago Blackhawks,0,0,,
365,Devorsky,Detroit Red Wings,0,0,,
366,Devorsky,Calgary Flames,0,0,,
367,Devorsky,Winnipeg Jets (1979),0,0,,
368,Devorsky,Anaheim Ducks,0,0,,
369,Devorsky,Edmonton Oilers,0,0,,
370,Devorsky,Dallas Stars,0,0,,1.0
371,Devorsky,Vancouver Canucks,0,0,,1.0
372,Devorsky,San Jose Sharks,0,0,,
373,Devorsky,St. Louis Blues,0,0,,
374,Devorsky,Los Angeles Kings,0,0,,
375,Devorsky,Toronto Maple Leafs,0,0,,
376,Devorsky,Hartford Whalers,0,0,,
377,Devorsky,Washington Capitals,0,0,,
378,Devorsky,Florida Panthers,0,0,,
379,Devorsky,New York Islanders,0,0,,
380,Devorsky,Montréal Canadiens,1,0,1.0,5.0
381,Devorsky,Philadelphia Flyers,0,0,,
382,Devorsky,Quebec Nordiques,0,0,,
383,Devorsky,Boston Bruins,0,0,,
384,Devorsky,New Jersey Devils,0,0,,
385,Devorsky,Ottawa Senators,0,0,,
386,Devorsky,Colorado Avalanche,0,0,,
387,Devorsky,Phoenix Coyotes,0,0,,
388,Devorsky,Carolina Hurricanes,0,0,,
389,Devorsky,Nashville Predators,0,0,,
390,Devorsky,Atlanta Thrashers,0,0,,
391,Devorsky,Minnesota Wild,0,0,,
392,Devorsky,Columbus Blue Jackets,0,0,,
393,Devorsky,Winnipeg Jets,0,0,,
394,Devorsky,Arizona Coyotes,0,0,,
395,Devorsky,Vegas Golden Knights,0,0,,
396,Wayne Bonney,Buffalo Sabres,1,3,0.25,2.4
397,Wayne Bonney,New York Rangers,2,2,0.5,2.5
398,Wayne Bonney,Pittsburgh Penguins,3,6,0.3333333333333333,2.272727272727273
399,Wayne Bonney,Tampa Bay Lightning,4,3,0.5714285714285714,2.7142857142857144
400,Wayne Bonney,Chicago Blackhawks,8,17,0.32,2.6666666666666665
401,Wayne Bonney,Detroit Red Wings,6,7,0.46153846153846156,2.75
402,Wayne Bonney,Calgary Flames,10,15,0.4,3.2666666666666666
403,Wayne Bonney,Winnipeg Jets (1979),2,6,0.25,3.1
404,Wayne Bonney,Anaheim Ducks,21,10,0.6774193548387096,3.0789473684210527
405,Wayne Bonney,Edmonton Oilers,10,13,0.43478260869565216,3.208333333333333
406,Wayne Bonney,Dallas Stars,18,7,0.72,3.290322580645161
407,Wayne Bonney,Vancouver Canucks,16,16,0.5,3.1842105263157894
408,Wayne Bonney,San Jose Sharks,14,24,0.3684210526315789,2.25
