,Ref,Team,Goals per Game
249,Kerry Fraser,Winnipeg Jets,
250,Kerry Fraser,Arizona Coyotes,
251,Kerry Fraser,Vegas Golden Knights,
252,Mike Cvik,Buffalo Sabres,2.0
253,Mike Cvik,New York Rangers,3.7142857142857144
254,Mike Cvik,Pittsburgh Penguins,3.4
255,Mike Cvik,Tampa Bay Lightning,3.0
256,Mike Cvik,Chicago Blackhawks,3.5384615384615383
257,Mike Cvik,Detroit Red Wings,3.769230769230769
258,Mike Cvik,Calgary Flames,2.58
259,Mike Cvik,Winnipeg Jets (1979),3.5
260,Mike Cvik,Anaheim Ducks,2.5161290322580645
261,Mike Cvik,Edmonton Oilers,3.090909090909091
262,Mike Cvik,Dallas Stars,2.6875
263,Mike Cvik,Vancouver Canucks,3.5238095238095237
264,Mike Cvik,San Jose Sharks,2.9655172413793105
265,Mike Cvik,St. Louis Blues,3.4545454545454546
266,Mike Cvik,Los Angeles Kings,3.32
267,Mike Cvik,Toronto Maple Leafs,3.3
268,Mike Cvik,Hartford Whalers,3.0
269,Mike Cvik,Washington Capitals,2.75
270,Mike Cvik,Florida Panthers,2.0
271,Mike Cvik,New York Islanders,3.2
272,Mike Cvik,Montréal Canadiens,2.6666666666666665
273,Mike Cvik,Philadelphia Flyers,2.75
274,Mike Cvik,Quebec Nordiques,3.0
275,Mike Cvik,Boston Bruins,3.727272727272727
276,Mike Cvik,New Jersey Devils,3.0
277,Mike Cvik,Ottawa Senators,1.8
278,Mike Cvik,Colorado Avalanche,3.888888888888889
279,Mike Cvik,Phoenix Coyotes,2.3636363636363638
280,Mike Cvik,Carolina Hurricanes,2.0
281,Mike Cvik,Nashville Predators,1.8
282,Mike Cvik,Atlanta Thrashers,
283,Mike Cvik,Minnesota Wild,
284,Mike Cvik,Columbus Blue Jackets,
285,Mike Cvik,Winnipeg Jets,
286,Mike Cvik,Arizona Coyotes,
287,Mike Cvik,Vegas Golden Knights,
288,Andy McElman,Buffalo Sabres,3.1
289,Andy McElman,New York Rangers,2.6
290,Andy McElman,Pittsburgh Penguins,3.142857142857143
291,Andy McElman,Tampa Bay Lightning,2.4285714285714284
292,Andy McElman,Chicago Blackhawks,3.206896551724138
293,Andy McElman,Detroit Red Wings,2.6666666666666665
294,Andy McElman,Calgary Flames,3.1666666666666665
295,Andy McElman,Winnipeg Jets (1979),3.6666666666666665
296,Andy McElman,Anaheim Ducks,3.4285714285714284
297,Andy McElman,Edmonton Oilers,2.5
298,Andy McElman,Dallas Stars,3.5714285714285716
299,Andy McElman,Vancouver Canucks,3.0
300,Andy McElman,San Jose Sharks,3.25
301,Andy McElman,St. Louis Blues,2.3846153846153846
302,Andy McElman,Los Angeles Kings,1.3333333333333333
303,Andy McElman,Toronto Maple Leafs,3.0
304,Andy McElman,Hartford Whalers,3.5
305,Andy McElman,Washington Capitals,3.5
306,Andy McElman,Florida Panthers,2.8333333333333335
307,Andy McElman,New York Islanders,2.75
308,Andy McElman,Montréal Canadiens,2.25
309,Andy McElman,Philadelphia Flyers,3.25
310,Andy McElman,Quebec Nordiques,
311,Andy McElman,Boston Bruins,2.2
312,Andy McElman,New Jersey Devils,2.3
313,Andy McElman,Ottawa Senators,2.5
314,Andy McElman,Colorado Avalanche,3.6666666666666665
315,Andy McElman,Phoenix Coyotes,3.3333333333333335
316,Andy McElman,Carolina Hurricanes,2.8333333333333335
317,Andy McElman,Nashville Predators,1.625
318,Andy McElman,Atlanta Thrashers,
319,Andy McElman,Minnesota Wild,
320,Andy McElman,Columbus Blue Jackets,
321,Andy McElman,Winnipeg Jets,
322,Andy McElman,Arizona Coyotes,
323,Andy McElman,Vegas Golden Knights,
324,Richard Trottier,Buffalo Sabres,2.2758620689655173
325,Richard Trottier,New York Rangers,3.227272727272727
326,Richard Trottier,Pittsburgh Penguins,3.130434782608696
327,Richard Trottier,Tampa Bay Lightning,2.5
328,Richard Trottier,Chicago Blackhawks,2.65625
329,Richard Trottier,Detroit Red Wings,3.0
330,Richard Trottier,Calgary Flames,2.303030303030303
331,Richard Trottier,Winnipeg Jets (1979),2.7
332,Richard Trottier,Anaheim Ducks,2.6176470588235294
333,Richard Trottier,Edmonton Oilers,2.962962962962963
334,Richard Trottier,Dallas Stars,2.9444444444444446
335,Richard Trottier,Vancouver Canucks,2.5172413793103448
336,Richard Trottier,San Jose Sharks,2.8260869565217392
337,Richard Trottier,St. Louis Blues,3.2962962962962963
338,Richard Trottier,Los Angeles Kings,2.7857142857142856
339,Richard Trottier,Toronto Maple Leafs,2.652173913043478
340,Richard Trottier,Hartford Whalers,2.7857142857142856
341,Richard Trottier,Washington Capitals,2.3225806451612905
342,Richard Trottier,Florida Panthers,2.6333333333333333
343,Richard Trottier,New York Islanders,2.388888888888889
344,Richard Trottier,Montréal Canadiens,2.4
345,Richard Trottier,Philadelphia Flyers,3.076923076923077
346,Richard Trottier,Quebec Nordiques,4.666666666666667
347,Richard Trottier,Boston Bruins,2.3666666666666667
348,Richard Trottier,New Jersey Devils,2.7941176470588234
349,Richard Trottier,Ottawa Senators,2.566666666666667
350,Richard Trottier,Colorado Avalanche,3.08
351,Richard Trottier,Phoenix Coyotes,2.769230769230769
352,Richard Trottier,Carolina Hurricanes,2.9166666666666665
353,Richard Trottier,Nashville Predators,2.25
354,Richard Trottier,Atlanta Thrashers,2.0
355,Richard Trottier,Minnesota Wild,3.0
356,Richard Trottier,Columbus Blue Jackets,1.0
357,Richard Trottier,Winnipeg Jets,
358,Richard Trottier,Arizona Coyotes,
359,Richard Trottier,Vegas Golden Knights,
360,Devorsky,Buffalo Sabres,
361,Devorsky,New York Rangers,2.0
362,Devorsky,Pittsburgh Penguins,
363,Devorsky,Tampa Bay Lightning,
364,Devorsky,Chicago Blackhawks,
365,Devorsky,Detroit Red Wings,
366,Devorsky,Calgary Flames,
367,Devorsky,Winnipeg Jets (1979),
368,Devorsky,Anaheim Ducks,
369,Devorsky,Edmonton Oilers,
370,Devorsky,Dallas Stars,1.0
371,Devorsky,Vancouver Canucks,1.0
372,Devorsky,San Jose Sharks,
373,Devorsky,St. Louis Blues,
374,Devorsky,Los Angeles Kings,
375,Devorsky,Toronto Maple Leafs,
376,Devorsky,Hartford Whalers,
377,Devorsky,Washington Capitals,
378,Devorsky,Florida Panthers,
379,Devorsky,New York Islanders,
380,Devorsky,Montréal Canadiens,5.0
381,Devorsky,Philadelphia Flyers,
382,Devorsky,Quebec Nordiques,
383,Devorsky,Boston Bruins,
384,Devorsky,New Jersey Devils,
385,Devorsky,Ottawa Senators,
386,Devorsky,Colorado Avalanche,
387,Devorsky,Phoenix Coyotes,
388,Devorsky,Carolina Hurricanes,
389,Devorsky,Nashville Predators,
390,Devorsky,Atlanta Thrashers,
391,Devorsky,Minnesota Wild,
392,Devorsky,Columbus Blue Jackets,
393,Devorsky,Winnipeg Jets,
394,Devorsky,Arizona Coyotes,
395,Devorsky,Vegas Golden Knights,
396,Wayne Bonney,Buffalo Sabres,2.4
397,Wayne Bonney,New York Rangers,2.5
398,Wayne Bonney,Pittsburgh Penguins,2.272727272727273
399,Wayne Bonney,Tampa Bay Lightning,2.7142857142857144
400,Wayne Bonney,Chicago Blackhawks,2.6666666666666665
401,Wayne Bonney,Detroit Red Wings,2.75
402,Wayne Bonney,Calgary Flames,3.2666666666666666
403,Wayne Bonney,Winnipeg Jets (1979),3.1
404,Wayne Bonney,Anaheim Ducks,3.0789473684210527
405,Wayne Bonney,Edmonton Oilers,3.2083333333333335
406,Wayne Bonney,Dallas Stars,3.2903225806451615
407,Wayne Bonney,Vancouver Canucks,3.1842105263157894
408,Wayne Bonney,San Jose Sharks,2.25
409,Wayne Bonney,St. Louis Blues,3.1363636363636362
410,Wayne Bonney,Los Angeles Kings,2.7941176470588234
411,Wayne Bonney,Toronto Maple Leafs,2.782608695652174
412,Wayne Bonney,Hartford Whalers,
413,Wayne Bonney,Washington Capitals,2.0
414,Wayne Bonney,Florida Panthers,3.0
415,Wayne Bonney,New York Islanders,1.4545454545454546
416,Wayne Bonney,Montréal Canadiens,2.5
417,Wayne Bonney,Philadelphia Flyers,3.2
418,Wayne Bonney,Quebec Nordiques,
419,Wayne Bonney,Boston Bruins,3.8333333333333335
420,Wayne Bonney,New Jersey Devils,2.125
421,Wayne Bonney,Ottawa Senators,2.347826086956522
422,Wayne Bonney,Colorado Avalanche,3.2790697674418605
423,Wayne Bonney,Phoenix Coyotes,2.6818181818181817
424,Wayne Bonney,Carolina Hurricanes,5.0
425,Wayne Bonney,Nashville Predators,
426,Wayne Bonney,Atlanta Thrashers,
427,Wayne Bonney,Minnesota Wild,
428,Wayne Bonney,Columbus Blue Jackets,
429,Wayne Bonney,Winnipeg Jets,
430,Wayne Bonney,Arizona Coyotes,
431,Wayne Bonney,Vegas Golden Knights,
432,McCourt,Buffalo Sabres,
433,McCourt,New York Rangers,0.0
434,McCourt,Pittsburgh Penguins,3.0
435,McCourt,Tampa Bay Lightning,3.5
436,McCourt,Chicago Blackhawks,2.0
437,McCourt,Detroit Red Wings,3.3333333333333335
438,McCourt,Calgary Flames,2.4
439,McCourt,Winnipeg Jets (1979),5.0
440,McCourt,Anaheim Ducks,3.0
441,McCourt,Edmonton Oilers,1.5
442,McCourt,Dallas Stars,3.4545454545454546
443,McCourt,Vancouver Canucks,5.0
444,McCourt,San Jose Sharks,1.75
445,McCourt,St. Louis Blues,4.0
446,McCourt,Los Angeles Kings,5.0
447,McCourt,Toronto Maple Leafs,2.0
448,McCourt,Hartford Whalers,2.0
449,McCourt,Washington Capitals,5.0
450,McCourt,Florida Panthers,
451,McCourt,New York Islanders,3.0
452,McCourt,Montréal Canadiens,3.4
453,McCourt,Philadelphia Flyers,
454,McCourt,Quebec Nordiques,4.0
455,McCourt,Boston Bruins,
456,McCourt,New Jersey Devils,2.5
457,McCourt,Ottawa Senators,
458,McCourt,Colorado Avalanche,4.0
459,McCourt,Phoenix Coyotes,
460,McCourt,Carolina Hurricanes,
461,McCourt,Nashville Predators,
462,McCourt,Atlanta Thrashers,
463,McCourt,Minnesota Wild,
464,McCourt,Columbus Blue Jackets,
465,McCourt,Winnipeg Jets,
466,McCourt,Arizona Coyotes,
467,McCourt,Vegas Golden Knights,
468,McGeough,Buffalo Sabres,3.0
469,McGeough,New York Rangers,3.0
470,McGeough,Pittsburgh Penguins,5.0
471,McGeough,Tampa Bay Lightning,
472,McGeough,Chicago Blackhawks,
473,McGeough,Detroit Red Wings,4.4
474,McGeough,Calgary Flames,3.3333333333333335
475,McGeough,Winnipeg Jets (1979),6.5
476,McGeough,Anaheim Ducks,3.0
477,McGeough,Edmonton Oilers,
478,McGeough,Dallas Stars,3.4
479,McGeough,Vancouver Canucks,3.0
480,McGeough,San Jose Sharks,2.8333333333333335
481,McGeough,St. Louis Blues,3.5
482,McGeough,Los Angeles Kings,2.0
483,McGeough,Toronto Maple Leafs,2.0
484,McGeough,Hartford Whalers,3.0
485,McGeough,Washington Capitals,4.0
486,McGeough,Florida Panthers,2.0
487,McGeough,New York Islanders,
488,McGeough,Montréal Canadiens,2.5
