,Ref,Score,Team
3463,Rob Martell,4,Toronto Maple Leafs
3464,Dan O'Rourke,5,Carolina Hurricanes
3465,Dan O'Rourke,3,Montréal Canadiens
3466,Dave Jackson,5,Carolina Hurricanes
3467,Dave Jackson,3,Montréal Canadiens
3468,Greg Kimmerly,3,Atlanta Thrashers
3469,Greg Kimmerly,5,Ottawa Senators
3470,Kerry Fraser,3,Atlanta Thrashers
3471,Kerry Fraser,5,Ottawa Senators
3472,Don Koharski,2,New Jersey Devils
3473,Don Koharski,0,New York Islanders
3474,Don VanMassenhoven,2,New Jersey Devils
3475,Don VanMassenhoven,0,New York Islanders
3476,Dan O'Halloran,5,Florida Panthers
3477,Dan O'Halloran,4,Tampa Bay Lightning
3478,Kelly Sutherland,5,Florida Panthers
3479,Kelly Sutherland,4,Tampa Bay Lightning
3480,Eric Furlatt,4,Minnesota Wild
3481,Eric Furlatt,1,Nashville Predators
3482,Mike Hasenfratz,4,Minnesota Wild
3483,Mike Hasenfratz,1,Nashville Predators
3484,Brad Watson,4,Detroit Red Wings
3485,Brad Watson,1,Phoenix Coyotes
3486,Ian Walsh,4,Detroit Red Wings
3487,Ian Walsh,1,Phoenix Coyotes
3488,Kevin Pollock,5,Calgary Flames
3489,Kevin Pollock,2,Colorado Avalanche
3490,Stephane Auger,5,Calgary Flames
3491,Stephane Auger,2,Colorado Avalanche
3492,Chris Rooney,2,Anaheim Ducks
3493,Chris Rooney,2,Los Angeles Kings
3494,Michael McGeough,2,Anaheim Ducks
3495,Michael McGeough,2,Los Angeles Kings
3496,Bill McCreary,1,Chicago Blackhawks
3497,Bill McCreary,2,New York Rangers
3498,Chris Lee,1,Chicago Blackhawks
3499,Chris Lee,2,New York Rangers
3500,Mike Leggo,3,Pittsburgh Penguins
3501,Mike Leggo,2,Washington Capitals
3502,Tom Kowal,3,Pittsburgh Penguins
3503,Tom Kowal,2,Washington Capitals
3504,Marc Joannette,5,Dallas Stars
3505,Marc Joannette,2,San Jose Sharks
3506,Rob Shick,5,Dallas Stars
3507,Rob Shick,2,San Jose Sharks
3508,Dan Marouelli,2,Columbus Blue Jackets
3509,Dan Marouelli,3,Montréal Canadiens
3510,Dean Warren,2,Columbus Blue Jackets
3511,Dean Warren,3,Montréal Canadiens
3512,Eric Furlatt,3,Minnesota Wild
3513,Eric Furlatt,5,St. Louis Blues
3514,Justin StPierre,3,Minnesota Wild
3515,Justin StPierre,5,St. Louis Blues
3516,Chris Rooney,3,Anaheim Ducks
3517,Chris Rooney,3,Los Angeles Kings
3518,Michael McGeough,3,Anaheim Ducks
3519,Michael McGeough,3,Los Angeles Kings
3520,Kevin Pollock,4,Colorado Avalanche
3521,Kevin Pollock,5,Vancouver Canucks
3522,Stephane Auger,4,Colorado Avalanche
